"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.0,0.0,0.04231384869293864,0.04549709185430406,0.010333116812028198,0.028716570427808952,Dsfk,ST
0.0,0.0,0.03688233320984369,0.037895648965910245,0.009340425592702428,0.00870111216604419,Dg2,ST
0.0,0.0,0.17007122960640997,0.2218187733073007,0.1254870735601875,0.024520438979362846,Dg2g1,ST
0.0,0.0,0.1292948023194046,0.15970491568631018,0.09950537105770396,0.004251079237101996,Dg2g1s2,ST
0.0,0.0,0.34107492948300755,0.4081150973727864,0.2906223238893427,0.10021435806453127,Dg1,ST
0.0,0.0,0.2755948684979306,0.31168225632938484,0.25721827214350323,0.014199989068516605,Dg1s2,ST
0.0,0.0,0.05148443983129991,0.033954153979633306,0.025215713293072817,0.017108655133970196,Ds2,ST
0.0,0.0,0.11933039195460637,0.14414981010238936,0.12477726578854387,0.3566771595787176,kS2f,ST
0.0,0.0,0.2901369597035748,0.3291207872292198,0.23949318171291123,0.4868394689491623,kS2r,ST
0.0,0.0,0.17805177091692526,0.16072647672825546,0.13545955910141472,0.10387664094998927,kG1f,ST
0.0,0.0,0.13919968379180503,0.18517615631129525,0.08452913230598835,0.01849305762005027,kG1r,ST
0.0,0.0,0.04181666790530092,0.047847695829154935,0.009275305701882175,0.05676568835699958,kG2f,ST
0.0,0.0,0.04351197949522467,0.038280981949913806,0.008716860001603544,0.023150921283642822,kG2r,ST
0.0,0.0,0.07487458643274514,0.09908033820472628,0.041529938528635846,0.1987503825577538,kG1p,ST
0.0,0.0,0.4029771072915491,0.4912147049741433,0.38617802007314117,0.12764309305535082,kG1dp,ST
0.0,0.0,0.047389632692070416,0.07878553951827094,0.01991789847362524,0.1692278202451708,kSa,ST
0.0,0.0,0.059874484856729304,0.06312158444596772,0.03282705887055315,0.047869131138102206,kSi,ST
0.0,0.0,0.05142432285101228,0.04868582195636739,0.016796050118558337,0.07137893505967985,kp,ST
0.0,0.0,0.06096805876956146,0.06369255946965258,0.024827436421430815,0.03551125417904588,kdp,ST
0.0,0.0,0.08802126381251452,0.07738692288760074,0.043611446740846604,0.17741801828536952,kEGFf,ST
0.0,0.0,0.05563627069309052,0.06532745591530831,0.024381633800890867,0.04116147600953313,kEGFr,ST
0.0,0.0,0.05641786998992049,0.061312370269097416,0.03173118774182426,0.10853574640039498,EGF,ST
0.0,0.0,0.05915613039954892,0.05815732677706009,0.01941635165204114,0.030851837397078752,kdf,ST
0.0,0.0,0.0453486799140691,0.04556614340647813,0.03050985493574565,0.014278861836517165,kdr,ST
