"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.5050752577820269,0.5300300122908472,0.14424004281074715,0.10073018521062534,0.1845513647736095,0.004299173704566806,Dsfk,S1
4.2114880713595535e-6,4.606546443009121e-6,0.0002882727700808728,0.00013191249667256308,5.08205507119399e-5,2.7487686278742398e-5,Dg2,S1
9.503309421687029e-6,1.7246058879989234e-6,0.007177241069223207,0.0030472240882870034,0.015749933735554278,6.97543771500035e-5,Dg2g1,S1
5.1213288201800796e-6,2.1059720028820795e-6,0.00442032464678187,0.0007201846472444522,0.00590575701260437,6.181061856396033e-5,Dg2g1s2,S1
3.933896189527853e-6,2.3494959031969277e-6,0.0346709899514715,0.030837713124729174,0.03975427026517249,0.00016219034995835206,Dg1,S1
3.5523790279824726e-6,3.728433086249495e-6,0.05256330431351994,0.028112658352320782,0.05865314572131643,2.1530333278068065e-5,Dg1s2,S1
1.4406611325868393e-6,6.878747050646831e-6,9.670543270201847e-5,0.00012219967799260723,0.00019064614297023118,5.934421371345724e-5,Ds2,S1
4.245634939978858e-6,6.553795243107619e-6,0.01490916264670695,0.006909317503490756,0.020023295550542296,0.1760725519091137,kS2f,S1
1.308430234057456e-6,6.373176176651297e-6,0.018224703605688255,0.010207313002413875,0.011989993427126712,0.1807759053934136,kS2r,S1
1.237388891266487e-6,9.716128142972151e-6,0.0029862974727607712,0.00800377936777492,0.002710834652495429,4.003333503581578e-5,kG1f,S1
8.375140380333868e-6,4.1060145073536703e-5,0.00011923711179329097,0.0003037948446353092,0.000371066515857058,0.00012588446476736448,kG1r,S1
5.024036659579118e-5,0.0001435660445165704,0.00048383052922259634,0.0008164384976400258,0.0003376492850226301,0.0016358838865309592,kG2f,S1
7.355692288924188e-6,2.5966768448525212e-5,0.0006392796802526174,0.0003362238040101984,0.0003532590076071521,4.225682829389467e-5,kG2r,S1
2.1097210684038324e-6,2.9410637311174076e-6,0.005091384494234496,0.0019829497494340442,0.021838941774711126,0.0692579795362704,kG1p,S1
3.6602342644609637e-6,2.0953943340516464e-6,0.0731178406998102,0.03474734351838357,0.13349955648949913,0.009645938579551205,kG1dp,S1
0.0029240757271473735,0.0011207410052703956,0.0012915940293152404,0.0007360349815256359,0.004994511350555374,0.04169451281472387,kSa,S1
0.259927256016349,0.25456128213206136,0.062010959873386624,0.04368154705277948,0.05940626927281185,0.010804633336137915,kSi,S1
7.826517521805521e-6,3.4847481105051075e-5,0.0007613274987246681,0.0004094463808986477,0.0013988253664742741,0.010998756759249438,kp,S1
3.0969097542596486e-6,1.8212460789690905e-6,0.00021250793812222396,4.23493103042673e-5,0.00011067149262959543,0.002441975859238335,kdp,S1
0.00012693850512491582,3.6303884503848895e-5,0.002513628980101356,0.00024769851017872107,0.007315969989195505,0.029126535092471244,kEGFf,S1
2.373718434385512e-5,6.33645416354979e-5,8.478368605331488e-5,0.0003066177820564649,9.695077782548154e-5,0.003798833131870489,kEGFr,S1
0.0002942762777699124,2.172942947968953e-5,0.00020577917605519804,0.00045164704438156,0.002936549576366737,0.021875178427901962,EGF,S1
0.00011309855547569152,5.5082189813137395e-5,0.0005140308143601291,0.00038293763538384517,0.000907497631875392,0.0026348760735278036,kdf,S1
3.244190677843659e-6,1.469888453518456e-6,6.670643728509024e-5,0.00025217180502543144,4.265708645227697e-5,0.00010676375325815548,kdr,S1
