"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.07202861083381706,0.0,0.0,0.0,0.5356328509648244,0.6147128788132755,[SFK],ST
0.07491209754822814,0.0,0.0,0.0,0.002689965252880011,0.03765710592745819,[GRB2],ST
0.07386784864240081,0.0,0.0,0.0,0.008516348404421503,0.7797894211666868,[GAB1],ST
0.0726668379731028,0.0,0.0,0.0,0.11027742406256447,0.7519434280145537,[SHP2],ST
0.9907307507372435,0.0,0.0,0.0,0.6159478425975705,0.41735595354793387,[EGFR],ST
