"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.0,0.0,0.00043688324834346894,0.0,0.01748758970889651,0.04630502693579854,[SFK],S1
0.0,0.0,0.04537417059782941,0.0,0.005378076773226804,6.741103362576215e-5,[GRB2],S1
0.0,0.0,0.000414238428221599,0.0,0.016898049203614814,0.06685572477059212,[GAB1],S1
0.0,0.0,0.059385071129944296,0.0,0.7227084744321615,0.06656522978470188,[SHP2],S1
0.0,0.0,0.3037395815637771,0.0,0.15457675677433821,0.016171909060828743,[EGFR],S1
