iteration,chain,kG1p,kG1dp,kSa,kSi,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,1.0202564614916192,12.824331325040735,10.91156448459511,5.114597057414601,-11.347846142118856,15.0,1.0,0.27686358206495737,-11.347846142118856,14.733320891117552,0.2675964080259643,3.3945908018216855,3.0,0.0,0.3849563170943756,0.3849563170943756
502,1,3.309155733593094,88.46830377983545,0.4270222409315128,3.295049181743954,-11.129186610297262,15.0,1.0,0.7514538305647903,-11.129186610297262,12.865619062782502,0.0008208097715733942,1.0367135523647004,4.0,0.0,0.3849563170943756,0.3849563170943756
503,1,0.2576257897838256,2.4508607824801065,3.627741046659438,12.003375198648106,-10.752217899078385,15.0,1.0,0.8891339853136615,-10.752217899078385,11.728195206963427,-0.2576965663773372,0.9404285513799397,3.0,0.0,0.3849563170943756,0.3849563170943756
504,1,25.18006203619483,1.2746951011256755,0.07028459362238719,30.228979943974714,-12.527074409190503,7.0,1.0,0.9863383245124505,-12.527074409190503,13.10755011734587,-0.05760137244273977,0.10051862147240875,3.0,0.0,0.3849563170943756,0.3849563170943756
505,1,30.79317361471357,0.18774682299665238,0.25757926574858414,34.37875070701555,-13.523927038126772,5.0,1.0,0.7979993924940401,-13.523927038126772,14.3689357139125,-0.01013408442831043,54.350645740673485,2.0,0.0,0.3849563170943756,0.3849563170943756
506,1,0.04636084381952274,0.062119692948992423,52.45751380787838,1.4191372046870896,-15.593439729534893,7.0,1.0,0.9841412204896918,-15.593439729534893,18.431275873178105,-2.618276955558148,-2.8226965723182573,3.0,0.0,0.3849563170943756,0.3849563170943756
507,1,0.05979737292864882,0.1345856163008133,41.904240624692214,0.5097231353012279,-15.104233226899492,7.0,1.0,0.9874741621368407,-15.104233226899492,17.078993138931764,0.02452575091844622,-0.10855361381632278,3.0,0.0,0.3849563170943756,0.3849563170943756
508,1,0.6364218107521579,44.90756463097387,0.0451207774789586,0.5095942289471549,-12.462791662197505,7.0,1.0,0.9733198958784085,-12.462791662197505,16.434414808835943,-0.16482413127399553,0.20672990627781473,3.0,0.0,0.3849563170943756,0.3849563170943756
509,1,0.6364218107521579,44.90756463097387,0.0451207774789586,0.5095942289471549,-15.17229064586419,7.0,1.0,0.014165925964067839,-15.17229064586419,16.072390560522788,0.0,4.410535572879272,3.0,0.0,0.3849563170943756,0.3849563170943756
510,1,4.606714916181743,1.2518549795190743,3.8447112548466307,0.11189448818076507,-13.353712728717955,7.0,1.0,0.8131506747543428,-13.353712728717955,14.706253622876705,-0.4657278652412824,0.603042003854128,3.0,0.0,0.3849563170943756,0.3849563170943756
511,1,2.5861741523409405,1.487154106862892,3.02029095918317,0.13940474866579533,-12.987513961195226,3.0,1.0,0.8841616189074303,-12.987513961195226,13.789567709297208,0.184382230083445,0.1973942008993994,2.0,0.0,0.3849563170943756,0.3849563170943756
512,1,0.3442683981818348,0.8809799606973189,0.39150774017593976,47.15354767111402,-10.926925493875645,6.0,1.0,0.4765630680618438,-10.926925493875645,15.88047030394549,0.1515462584911198,Inf,2.0,1.0,0.3849563170943756,0.3849563170943756
513,1,1.6067309367659932,6.359852281643275,0.24153063414333167,1.3964316309346076,-10.66193791905539,11.0,1.0,0.6565298689703105,-10.66193791905539,11.88793026558668,0.1130350236674591,9.660346626586847,3.0,0.0,0.3849563170943756,0.3849563170943756
514,1,0.9384708401363978,0.8343807750404701,0.13246987697299975,54.99824872590222,-11.355069116633182,7.0,1.0,0.6480296618710207,-11.355069116633182,14.741599284899161,-0.04137601900961663,2.472474591236775,3.0,0.0,0.3849563170943756,0.3849563170943756
515,1,0.8030969955211464,1.7845223255220382,0.06853617103244102,82.61199632229965,-11.360847860885082,3.0,1.0,0.3611104232135447,-11.360847860885082,12.001965985021616,-0.34089554661821175,5.655892505485825,2.0,0.0,0.3849563170943756,0.3849563170943756
516,1,0.5315391474369405,6.8254103804495685,0.1440891378622685,0.27787278909846125,-11.38557292950472,15.0,1.0,0.49829004469384,-11.38557292950472,13.40331336730848,-1.5019590549091149,1.678530544816164,3.0,0.0,0.3849563170943756,0.3849563170943756
517,1,0.24725009854041963,0.09592412378628076,5.801478509019278,0.006789198414197529,-17.718447754318777,7.0,1.0,0.8729701264627437,-17.718447754318777,18.215897408822325,0.19102149461732765,-0.5278927664040403,3.0,0.0,0.3849563170943756,0.3849563170943756
518,1,1.5120759711087963,3.335874299503538,5.071404254333229,0.010171362057630312,-15.489364383916548,7.0,1.0,0.9869363939229169,-15.489364383916548,20.620065920223745,0.06787907270645377,-0.6849304570900294,3.0,0.0,0.3849563170943756,0.3849563170943756
519,1,0.23066917305750645,1.068210170193835,4.939471224595385,1.232374254041461,-11.540160371909373,12.0,1.0,0.6039675026555013,-11.540160371909373,19.749815445685925,-0.08442758259709038,Inf,3.0,1.0,0.3849563170943756,0.3849563170943756
520,1,0.2263145019590583,3.122183345526205,1.2138751696456338,0.5621423884714873,-11.124217204635709,15.0,1.0,0.8970667659646416,-11.124217204635709,12.160370710477084,-0.004847010365097049,0.47453597229999467,4.0,0.0,0.3849563170943756,0.3849563170943756
521,1,0.3043965081461975,3.316898053128078,2.017269381552332,0.3124270056953847,-11.557858216723732,7.0,1.0,0.9531156140668285,-11.557858216723732,11.970102473198448,0.030974227592977854,-0.21494289594043714,3.0,0.0,0.3849563170943756,0.3849563170943756
