iteration,chain,kG1p,kG1dp,kSa,kSi,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.3940095598844814,0.5563023376136611,0.4216961507828935,10.865404258507523,-12.389770482251176,1.0,1.0,9.7038386860379e-109,-12.389770482251176,19.827960994960705,0.0,248.70925358829774,1.0,0.0,0.5995422027585205,0.5995422027585205
502,1,0.3940095598844814,0.5563023376136611,0.4216961507828935,10.865404258507523,-12.389770482251176,1.0,1.0,2.4889167128787963e-65,-12.389770482251176,17.092664133018356,0.0,148.75618348386902,1.0,0.0,0.5995422027585205,0.5995422027585205
503,1,4.979521363745521,12.365402970101716,0.19909559391590767,0.8423628266582137,-11.976891736909941,7.0,1.0,0.7540528790798042,-11.976891736909941,13.776074374037975,-0.10159861374996382,0.6168207346219869,3.0,0.0,0.5995422027585205,0.5995422027585205
504,1,0.2501105604540341,0.8877861909083837,0.405111905750839,2.698886730651803,-11.966846680496648,15.0,1.0,0.8645430481799273,-11.966846680496648,14.152729173480932,-0.13726802888849932,4.01441592413634,3.0,0.0,0.5995422027585205,0.5995422027585205
505,1,0.2501105604540341,0.8877861909083837,0.405111905750839,2.698886730651803,-11.966846680496648,3.0,1.0,0.11736636004054607,-11.966846680496648,16.992885797617102,0.0,2.258450197667532,1.0,0.0,0.5995422027585205,0.5995422027585205
506,1,1.13439756603145,1.519643602772943,0.1911861146079145,1.0915788304622072,-11.531184838003798,7.0,1.0,0.9057220635431159,-11.531184838003798,12.998902668240161,-0.28335050224812264,0.2834790572707373,3.0,0.0,0.5995422027585205,0.5995422027585205
507,1,3.0611213393075474,9.099587408940543,5.232603429864948,1.7054889276639773,-11.81722899898673,7.0,1.0,0.9673528063511094,-11.81722899898673,12.315416758593994,0.03223664816466254,0.05262610461999451,3.0,0.0,0.5995422027585205,0.5995422027585205
508,1,16.927112929602245,0.20618418996369747,1.6220764756787722,0.3448885070145943,-14.286086417281465,7.0,1.0,0.5136724657641466,-14.286086417281465,15.413685664848568,0.3560146087850491,7.6094168146077585,2.0,0.0,0.5995422027585205,0.5995422027585205
509,1,3.2729025396536215,0.12251327810659442,0.43189175029839405,0.15694294515248347,-14.1407692329365,5.0,1.0,0.8355720619589071,-14.1407692329365,16.30128578754607,-0.01628089478238337,1.7267568132234743,2.0,0.0,0.5995422027585205,0.5995422027585205
510,1,0.6303913861569982,0.15005656703737677,0.7102445615469387,0.17450513273746945,-13.545674161476272,3.0,1.0,0.6666667543740296,-13.545674161476272,15.051910813017969,-0.039980037993744943,15.15064769684482,1.0,0.0,0.5995422027585205,0.5995422027585205
511,1,0.23899805750620173,0.09759608014009864,0.245477533105716,0.29151163494034765,-13.573059108013478,3.0,1.0,0.905631337941795,-13.573059108013478,14.57723296106884,-0.011478530973967338,0.3328272682413296,2.0,0.0,0.5995422027585205,0.5995422027585205
512,1,0.2550579276269375,0.7495780603516283,4.549789679974076,0.511168321909213,-12.49906781839158,5.0,1.0,0.3947324347532456,-12.49906781839158,17.615147546582072,-0.10893379013440452,Inf,2.0,1.0,0.5995422027585205,0.5995422027585205
513,1,22.52997150659843,1.287903978977654,0.14119662556254975,56.83248227792791,-13.351795410640587,7.0,1.0,0.9903782650685823,-13.351795410640587,15.546368297831012,-0.1197729172121953,-0.29402372929946985,3.0,0.0,0.5995422027585205,0.5995422027585205
514,1,1.082242142005532,0.8465344127820562,6.957961156492625,5.0355493846202295,-11.85801999097524,7.0,1.0,0.9184522570529737,-11.85801999097524,14.133287867288134,0.03588567792633057,0.15004537572976595,3.0,0.0,0.5995422027585205,0.5995422027585205
515,1,1.862390473859643,0.7815055184150066,17.13186252028246,8.041596430478318,-12.538791073938263,3.0,1.0,0.9702918058473672,-12.538791073938263,12.780547556911234,0.050674116715834217,-0.1574666886072329,2.0,0.0,0.5995422027585205,0.5995422027585205
516,1,4.768940284736923,6.268103688894912,2.494630258850813,6.534764940012063,-11.435107063917792,7.0,1.0,0.47934814300322703,-11.435107063917792,12.909286911636517,-0.13002463977988477,4.608049793770816,3.0,0.0,0.5995422027585205,0.5995422027585205
517,1,56.78790352676192,1.3724058350189872,0.58466006581244,7.547053743712855,-13.153855250744355,3.0,1.0,0.24516868233299308,-13.153855250744355,16.37676283370014,0.307196517357891,Inf,1.0,1.0,0.5995422027585205,0.5995422027585205
518,1,2.317453149771991,0.18964685663168013,0.5418522596891892,8.735423171561173,-12.12612975479818,6.0,1.0,0.4708063704752332,-12.12612975479818,18.13586274799688,-0.10678340731240255,Inf,2.0,1.0,0.5995422027585205,0.5995422027585205
519,1,1.743476239480409,2.6155099225925653,41.412849297011306,7.369069524038585,-12.929063769578805,7.0,1.0,0.3462330836052962,-12.929063769578805,14.863058123193408,0.02772226516336218,5.443408080557198,3.0,0.0,0.5995422027585205,0.5995422027585205
520,1,1.743476239480409,2.6155099225925653,41.412849297011306,7.369069524038585,-12.929063769578805,1.0,1.0,5.375952604786046e-27,-12.929063769578805,17.915751152954968,0.0,60.48786172373127,1.0,0.0,0.5995422027585205,0.5995422027585205
521,1,0.7433523415358532,1.9763808630588435,6.912503242081317,22.915046286427014,-12.046811616713233,6.0,1.0,0.48404891579550297,-12.046811616713233,14.108895100100524,-0.2656024343409591,Inf,2.0,1.0,0.5995422027585205,0.5995422027585205
